VH-VL pair,split
7lfd_H0-L0,unassigned
7shu_E0-F0,train
7shu_C0-D0,train
7shz_K0-L0,train
7shz_C0-D0,train
7shz_I0-J0,train
7shz_E0-F0,train
7six_H0-L0,train
7sj0_B0-L0,train
7sjm_H0-L0,train
7sjn_D0-E0,train
7sjn_F0-G0,train
7sjn_H0-L0,train
7sjo_E0-F0,train
7sjo_H0-L0,train
7sjo_I0-J0,train
7sjp_H0-L0,train
7sjs_H0-L0,test
7skz_H0-L0,test
7sl5_A0-B0,train
7sl5_D0-E0,train
7sl5_G0-H0,train
7sl5_J0-K0,train
7sn1_H0-L0,test
7ua2_H0-H1,train
7uap_H0-L0,train
7uaq_H0-L0,train
7uar_H0-L0,train
7uar_D0-E0,train
7uar_F0-G0,train
7uc8_H0-H1,train
7uc8_I0-I1,train
7uc8_J0-J1,train
7uce_H0-L0,train
7ucq_K0-K1,train
7ucq_H0-H1,train
7ucq_I0-I1,train
7ucq_J0-J1,train
7uel_H0-L0,train
7uem_H0-L0,train
7uem_D0-C0,train
7uen_H0-L0,train
7uhz_H0-L0,train
7uhz_I0-M0,train
7uhz_J0-N0,train
8cz8_A1-A0,train
8cz8_C1-C0,train
1mex_H0-L0,train
5vta_H0-L0,train
5vta_F0-E0,train
5vta_I0-G0,train
5vta_K0-J0,train
5vxr_H0-L0,train
6ncp_A0-B0,train
6ncp_C0-D0,train
6nfc_H0-L0,train
6oc7_H0-L0,train
7x7t_H0-L0,train
7x7t_A0-B0,train
7x7t_C0-D0,train
7x8p_F0-E0,train
7x8p_C0-B0,train
7x8w_H0-L0,train
7x93_E0-F0,train
7x96_H0-L0,train
7zfe_J0-K0,train
7zfe_F0-G0,train
7zfe_M0-N0,train
7zfe_H0-L0,train
7zff_H0-L0,train
8cge_A0-A1,train
8cge_B0-B1,train
4f3f_B0-A0,train
4f33_B0-A0,train
4f33_D0-C0,train
4f33_F0-E0,train
4f33_H0-G0,train
7ued_H0-L0,train
4v1d_D0-E0,train
4wcy_H0-L0,train
5vic_H0-L0,train
5vig_A0-B0,train
5vig_H0-L0,train
5vvf_H0-L0,train
5vjq_G0-H0,train
5vjq_A0-B0,train
5vjq_C0-D0,train
5vjq_E0-F0,train
5vk2_F0-G0,train
5vk2_H0-L0,train
5vk2_D0-E0,train
5vkk_H0-L0,train
5vkk_A0-B0,train
5vl3_A0-B0,train
5vl3_C0-D0,train
5vl3_E0-F0,train
5vl3_H0-L0,train
5vl7_H0-L0,train
1emt_H0-L0,train
4hs8_H0-L0,train
4ht1_H0-L0,train
4hwe_H0-L0,train
4hwb_H0-L0,train
4hxa_H0-L0,train
4hxb_H0-L0,train
4hzl_A0-B0,train
4hzl_H0-L0,train
4i18_A0-B0,train
4i18_H0-L0,train
4i2x_B0-A0,train
4i2x_D0-C0,train
3dif_B0-A0,train
3dif_D0-C0,train
4i77_H0-L0,train
4idj_H0-L0,train
4ij3_C0-B0,unassigned
8aon_B0-C0,valid
4j1u_B0-A0,train
4j1u_D0-C0,train
4j1u_F0-E0,train
4j4p_C0-D0,train
4j4p_H0-L0,train
4j6r_H0-L0,test
4j8r_D0-C0,train
4j8r_B0-A0,train
4jam_H0-L0,test
4jam_A0-B0,unassigned
4jan_H0-L0,unassigned
4jan_A0-B0,unassigned
4jb9_H0-L0,train
4jdt_H0-L0,train
4jdv_H0-L0,train
4jdv_A0-B0,train
5igx_H0-L0,train
4jfx_B0-A0,train
4jfx_H0-L0,train
4jfy_B0-A0,train
4jfy_H0-L0,train
4jfz_H0-L0,train
7m55_H0-L0,train
7m51_H0-L0,train
7m52_H0-L0,train
7m53_H0-L0,train
7mlh_E0-D0,train
7mlh_C0-A0,train
7su0_H0-L0,train
7su0_I0-M0,train
7su1_H0-L0,train
4jy5_H0-L0,train
5uty_H0-L0,train
4tvp_H0-L0,train
5fyj_H0-L0,train
5fyk_H0-L0,train
5fyl_H0-L0,train
5u7m_H0-L0,train
5u7o_H0-L0,train
5utf_H0-L0,train
7lx2_H0-L0,train
7lx2_N0-M0,train
7lx2_P0-O0,train
7lx3_H0-L0,train
7lx3_N0-M0,train
7lx3_P0-O0,train
7lxm_H0-L0,train
7lxm_N0-M0,train
7lxm_P0-O0,train
6b0n_H0-L0,train
6mpg_m0-n0,train
6mpg_50-60,train
6mpg_M0-N0,train
6ot1_m0-n0,train
6ot1_F0-I0,train
6ot1_Q0-R0,train
5dd0_H0-L0,train
5dd1_H0-L0,train
5dd3_H0-L0,train
5dd6_H0-L0,train
5dd6_A0-B0,train
5dd5_H0-L0,train
5dfv_C0-D0,train
5dfv_E0-F0,train
6ejg_C1-C0,train
6ejg_D1-D0,train
5dfw_H0-H1,train
5gkr_A0-B0,train
5gkr_C0-D0,train
5gks_A0-B0,train
5gks_C0-D0,train
5ik3_A0-B0,train
5ik3_C0-D0,train
5ijk_A0-C0,train
5ijk_B0-D0,train
7ui1_H0-H1,train
7ui1_I0-I1,train
7ui1_J0-J1,train
7ui1_K0-K1,train
8gv5_C0-D0,train
7wvd_G0-H0,train
7wvd_I0-J0,train
7wvg_C0-D0,train
8gv7_C0-D0,train
8gv4_A0-B0,train
8gv4_C0-D0,train
8gv6_I0-J0,train
8gv6_G0-H0,train
3nfp_A0-B0,train
3nfp_H0-L0,train
3nfs_H0-L0,train
5eii_H0-L0,train
5eii_A0-B0,train
6c6x_C0-D0,train
6c6x_A0-B0,train
6c6x_E0-F0,train
6c6x_H0-L0,train
6c6y_A0-B0,train
6c6y_H0-L0,train
6db5_I0-M0,train
6db5_H0-L0,train
6db6_H0-L0,train
6db7_H0-L0,train
6db7_I0-M0,train
6dc3_H0-L0,train
6dc4_H0-L0,test
6dc5_B0-C0,unassigned
6dc5_E0-F0,unassigned
6dc5_H0-I0,unassigned
6dc7_H0-L0,train
6dc7_I0-M0,train
6dc8_H0-L0,train
6dc9_I0-M0,train
6dc9_H0-L0,train
6dca_I0-M0,train
6dca_J0-N0,train
6dca_H0-L0,train
6dca_K0-O0,train
6dcq_H0-L0,train
6dcq_M0-N0,train
4nug_H0-L0,train
6dcv_H0-L0,test
6dcv_B0-A0,unassigned
6dcw_H0-L0,unassigned
6gk7_H0-L0,train
6ddm_B0-A0,train
6ddr_B0-A0,train
6ddv_B0-A0,train
6dez_H0-L0,train
6dez_B0-A0,train
6df0_H0-L0,train
6df1_H0-L0,train
6gxx_H0-L0,train
6hx4_H0-L0,train
6hx4_I0-M0,train
6x78_B0-A0,train
6x78_H0-L0,train
7lkh_H0-L0,train
7lkf_H0-L0,train
7txw_H0-L0,train
7u5b_H0-L0,train
7u5b_A0-B0,train
8c7h_L0-K0,train
7z0x_H0-L0,test
7z0y_H0-L0,train
7z12_B0-C0,train
7zrc_H0-L0,train
7zrc_F0-G0,train
7zrc_J0-K0,train
8g5f_J0-K0,train
8foi_H0-L0,train
8foi_J0-K0,train
8g5g_H0-L0,train
8g5h_J0-K0,train
8g4n_H0-L0,train
8g4n_J0-K0,train
8g4o_H0-L0,train
8g4o_J0-K0,train
8g4x_H0-L0,train
1cgs_H0-L0,train
2cgr_H0-L0,train
1cic_B0-A0,train
2w60_A0-B0,train
2w65_A0-B0,train
2w65_C0-D0,train
2zjs_H0-L0,train
3kdm_B0-A0,train
3kdm_H0-L0,train
6wiy_H0-L0,train
7cj2_K0-L0,train
7cj2_C0-D0,train
7jlk_H0-L0,train
7jlk_A0-B0,train
6ol7_C0-B0,train
6ol7_I0-F0,train
6ol7_H0-L0,train
6ol7_M0-N0,train
4jpi_A0-B0,train
4jpi_H0-L0,train
4jpk_H0-L0,train
6mft_H0-L0,train
6mft_A0-B0,train
6xoc_H0-L0,train
7jln_H0-L0,train
7jxd_A0-B0,train
7jxd_C0-D0,train
7jvc_H0-L0,train
7jvc_C0-D0,train
7jvc_F0-G0,train
7k3q_H0-L0,valid
7k4n_H0-L0,unassigned
7k4n_C0-D0,unassigned
7k4n_F0-G0,unassigned
7kba_A0-B0,train
7kba_H0-L0,train
5vob_H0-L0,train
7t4s_H0-I0,train
7kzb_H0-L0,train
8eoo_A0-B0,train
8eoo_F0-K0,train
7t72_H0-L0,train
7u09_H0-L0,train
7vaz_D0-C0,train
7vaz_B0-A0,train
7vaz_H0-F0,train
7v8q_B0-A0,train
7v8q_D0-C0,train
7v8q_F0-E0,train
7vac_B0-A0,train
7vac_D0-C0,train
7vac_F0-E0,train
7vux_H0-L0,test
7w7q_B0-B1,train
7w7q_A0-A1,train
8dnn_E0-F0,train
8dnn_B0-C0,train
8f5i_X0-Y0,test
8f5i_H0-L0,unassigned
8g1b_C0-D0,train
8g1b_A0-B0,train
8sgj_H0-L0,train
4hg4_V0-W0,train
4hg4_X0-Y0,train
4hg4_J0-K0,train
4hg4_R0-S0,train
4hg4_T0-U0,train
4hg4_Z0-z0,train
4hg4_L0-M0,train
4hg4_N0-O0,train
4hg4_P0-Q0,train
5xcq_A0-B0,train
5xcr_A0-B0,train
5xcr_D0-E0,train
2zpk_H0-L0,train
2zpk_I0-M0,train
5xct_A0-B0,train
6a67_C0-D0,train
6a67_H0-L0,train
7df1_H0-L0,train
7df1_E0-I0,train
7df1_F0-J0,train
7df1_G0-K0,train
7dm1_F0-E0,train
7dm1_D0-C0,train
7uzd_H0-L0,train
6ivz_H0-L0,train
6iw2_B0-C0,train
6iw2_E0-F0,train
6iw2_H0-I0,train
6iw2_K0-L0,train
6iw2_N0-O0,train
6iw2_Q0-R0,train
6srv_III0-MMM0,train
6srv_HHH0-LLL0,train
6tnp_B0-A0,train
6tnp_D0-C0,train
6tnp_F0-E0,train
6tnp_I0-G0,train
6tnp_K0-J0,train
6tnp_H0-L0,train
6tul_HHH0-LLL0,train
6txz_H0-L0,train
6txz_I0-M0,train
6txz_J0-N0,train
6txz_K0-O0,train
6tyb_H0-L0,train
6tys_H0-L0,train
6tys_F0-G0,train
6tys_C0-D0,train
6u1t_H0-L0,train
6u02_H0-L0,train
6u02_D0-C0,train
6u02_G0-F0,train
6u02_K0-I0,train
6pzf_F0-E0,train
6pzf_H0-L0,train
6u0l_H0-L0,train
6u0l_I0-J0,train
6u0l_P0-Q0,train
6u0n_H0-L0,train
6u0n_I0-J0,train
6u0n_P0-Q0,train
1rzf_H0-L0,train
6u3z_A0-B0,train
6u3z_C0-D0,train
6xsn_H0-L0,train
6u6m_H0-L0,train
6u6o_H0-L0,train
6u6u_H0-L0,train
6u8d_H0-L0,train
6ubi_D0-E0,train
6ubi_A0-B0,train
6uc5_H0-L0,train
6uce_H0-L0,test
6wm9_E0-F0,train
6wm9_B0-C0,train
6wmw_H0-L0,train
6wmw_M0-N0,train
6wn1_E0-F0,train
6wn1_B0-C0,train
6wzk_A0-B0,train
6wzk_C0-D0,train
6wzm_A0-B0,train
6wzm_C0-D0,train
6wzl_A0-B0,train
6wzl_C0-D0,train
6xkp_M0-N0,train
6xkp_H0-L0,train
6xkq_H0-L0,train
6xkr_H0-L0,train
6xlq_E0-F0,train
6xlq_K0-L0,train
6xlq_B0-C0,train
6xlq_H0-I0,train
8dy3_A0-A1,test
1mlb_B0-A0,train
1mlc_B0-A0,train
1mlc_D0-C0,train
1mrc_H0-L0,train
1mrd_H0-L0,train
1mre_H0-L0,train
1mrf_H0-L0,train
5esv_A0-B0,train
5esv_C0-D0,train
5esv_H0-L0,train
7u8c_H0-L0,test
7yrn_D0-E0,train
7yrn_F0-G0,train
7yrn_H0-I0,train
7yru_H0-L0,train
8fan_A0-B0,train
8fan_C0-D0,train
1dfb_H0-L0,unassigned
7n07_H0-L0,unassigned
7n08_H0-L0,unassigned
7n08_A0-B0,valid
7n08_C0-D0,unassigned
1frg_H0-L0,train
6uuh_A0-B0,train
6uuh_C0-D0,train
6x4t_D0-F0,train
6x4t_B0-E0,train
7keo_E0-F0,train
7keo_A0-B0,train
7lcv_A0-B0,test
7myt_H0-L0,train
7myt_A0-B0,train
7rew_A0-B0,train
7rew_H0-L0,train
7rm3_A0-B0,train
7rm3_C0-D0,train
7rm0_A0-B0,train
7rm0_C0-D0,train
7rm0_E0-F0,train
7rm0_G0-H0,train
7rm1_A0-B0,train
7rm1_C0-D0,train
7ryu_H0-L0,test
7tp3_H0-L0,train
7tuf_A0-B0,train
7tuf_H0-L0,train
7yvk_H0-I0,train
7yvk_N0-O0,train
7yvl_A0-C0,train
7yvm_C0-A0,train
7yvn_O0-N0,train
7yvn_L0-K0,train
7yvo_I0-H0,train
7yvo_K0-J0,train
7yvg_I0-H0,train
7yvg_K0-J0,train
7yvg_M0-L0,train
7yvo_M0-L0,train
7yvo_O0-N0,train
7yve_I0-H0,train
7yve_L0-K0,train
7yve_O0-N0,train
7yvf_C0-A0,train
7yxu_H0-L0,train
8ahn_H0-L0,train
8dfg_I0-M0,train
8dfg_H0-L0,train
4hj0_C0-D0,train
4hj0_P0-Q0,train
4hjj_H0-L0,valid
4kmt_H0-L0,train
4kph_I0-M0,train
4kph_H0-L0,train
4kq4_H0-L0,train
4ktd_H0-L0,train
4kte_H0-L0,train
4kuc_F0-E0,train
4kuc_H0-D0,train
4kuz_H0-L0,train
4kvc_H0-L0,train
1igc_H0-L0,train
4kvn_H0-L0,train
4ky1_H0-L0,train
4l5f_H0-L0,train
5ikc_H0-L0,train
5ikc_B0-A0,train
5iwl_A0-B1,train
5iwl_B0-A1,train
5j13_C0-B0,train
6h3t_I0-M0,train
6h3t_H0-L0,train
6lxi_H0-L0,train
6lxi_C0-D0,train
6lxj_H0-L0,train
6lxj_E0-F0,train
6lxj_J0-K0,train
6lxj_M0-N0,train
7daa_H0-L0,train
7d9z_H0-L0,train
1za3_H0-L0,train
1za3_B0-A0,train
4jg1_H0-L0,train
4jg0_H0-L0,train
4jha_H0-L0,valid
6s3d_A0-B0,unassigned
6s3d_C0-D0,unassigned
6s3d_E0-F0,unassigned
6s3d_H0-L0,unassigned
4jj5_B0-A0,train
4isv_B0-A0,train
4jo1_I0-M0,train
4jo1_H0-L0,train
4jo2_H0-L0,train
4jo2_I0-M0,train
4jo3_I0-M0,train
4jo3_H0-L0,train
4jo4_H0-L0,train
4jo4_I0-M0,train
4jpw_H0-L0,train
4jr9_H0-L0,train
4jre_B0-C0,train
4jre_H0-L0,train
4jy6_D0-C0,train
4jy6_B0-A0,train
4jzj_H0-L0,train
4jzj_A0-B0,train
4jzo_A0-B0,train
4jzo_D0-E0,train
4jzo_C0-F0,train
4jzo_G0-H0,train
4k2u_I0-M0,train
4k2u_H0-L0,train
4k3j_H0-L0,train
4k7p_Y0-X0,train
4k7p_H0-L0,train
4k8r_D0-C0,unassigned
4lkc_B0-A0,valid
8gb5_B0-C0,train
8gb5_F0-E0,train
8gb5_I0-H0,train
8gb5_L0-K0,train
8gb8_H0-L0,train
8gb7_H0-L0,train
8gbv_A0-B0,valid
8gbv_H0-L0,unassigned
8gby_H0-L0,train
8gbz_H0-L0,train
8gc1_H0-L0,train
8gf2_X0-Y0,train
8gf2_H0-L0,train
1qfw_H0-L0,train
1qfw_I0-M0,train
5f3b_A0-B0,train
5f3b_E0-F0,train
5f3h_C0-D0,train
5f3h_E0-F0,train
5f3h_G0-H0,train
5f3h_A0-B0,train
7mxd_X0-Y0,train
7mxl_H0-L0,train
7myz_H0-L0,unassigned
7myz_I0-M0,unassigned
5tzu_H0-L0,valid
7mzf_H0-L0,train
7mzg_H0-L0,train
7mzh_B0-C0,train
7mzh_H0-L0,train
7mzi_H0-L0,unassigned
7mzj_C0-D0,unassigned
7mzj_F0-E0,unassigned
7mzk_C0-D0,unassigned
7mzk_F0-E0,valid
7mzj_N0-M0,train
7mzj_H0-L0,train
7mzk_H0-L0,valid
7mzk_N0-M0,unassigned
7mzm_H0-L0,train
7mzn_H0-L0,train
7n0u_H0-L0,train
7mxl_A0-B0,train
7mxl_J0-K0,train
7n0x_H0-L0,train
7n3c_H0-L0,train
7n3d_H0-L0,test
7s8g_H0-L0,train
7s8g_h0-l0,train
7tyv_D0-E0,train
7tyv_G0-K0,train
7tyv_H0-L0,train
7uds_F0-G0,train
7uds_H0-L0,train
7uds_D0-E0,train
7s8h_B0-C0,train
7sbd_H0-L0,train
7sbg_H0-L0,train
7sc1_H0-L0,train
7sc1_M0-N0,train
7sc1_P0-Q0,train
7scn_H0-L0,train
7scn_E0-F0,train
7scn_J0-K0,train
7sco_E0-F0,train
7sco_J0-K0,train
7sco_H0-L0,train
7seg_A0-B0,unassigned
7seg_H0-L0,test
7sfw_M0-N0,train
7sfw_O0-P0,train
7sfw_Q0-R0,train
7sfw_S0-T0,train
1q9o_B0-A0,train
1q9o_D0-C0,train
1q9w_D0-C0,train
1q9w_B0-A0,train
1qfu_H0-L0,train
6yhq_H0-L0,train
7mfr_Y0-X0,train
7mfr_B0-A0,train
7mhy_M0-N0,train
7mjj_D0-E0,train
7mjj_F0-G0,train
7mjk_D0-E0,train
7mjk_F0-G0,train
7mjk_H0-I0,train
7mjl_H0-L0,train
7mjs_H0-L0,train
7mkm_H0-L0,train
7mkl_H0-L0,train
7mmo_D0-E0,train
7mmo_A0-B0,train
6ehv_X0-X1,train
6phb_B0-A0,valid
6phb_D0-C0,unassigned
6phc_C0-D0,train
6phd_H0-L0,train
6phf_C0-D0,train
6phf_A0-B0,train
6phg_A0-B0,train
6pi7_F0-E0,train
6pi7_C0-B0,train
6plh_B0-A0,train
6plk_I0-M0,train
6plk_H0-L0,train
6ppg_H0-L0,train
6ppg_B0-A0,train
6pv7_F0-G0,train
6pv7_H0-I0,train
6pxg_A0-B0,train
6pxg_C0-D0,train
6pxg_E0-F0,train
6pxg_H0-L0,train
6pxh_C0-D0,train
6pxh_H0-L0,train
6pxr_H0-L0,train
6pyd_H0-L0,train
6pyd_A0-B0,train
6pze_H0-L0,train
6xe1_H0-L0,train
1k6q_H0-L0,train
1kcs_H0-L0,train
1kcv_H0-L0,train
1kn4_H0-L0,train
1kn2_H0-L0,train
3v0w_H0-L0,train
3v0v_H0-L0,train
3v0v_A0-B0,train
3v4p_M0-N0,train
3v4p_H0-L0,train
4ydv_B0-A0,train
4ydv_H0-L0,train
5eoq_H0-L0,train
5eor_H0-L0,train
5gru_H0-L1,train
5mp6_P0-Q0,unassigned
5mp6_H0-L0,valid
5f89_H0-L0,unassigned
5f89_A0-B0,unassigned
6dzn_H0-L0,valid
7woa_D0-B0,train
7woa_F0-G0,train
7wob_D0-B0,train
7wob_H0-I0,train
7wob_F0-G0,train
7woc_A0-B0,train
7woq_D1-D0,train
7wou_D1-D0,train
7wou_F1-F0,train
7wr9_A0-B0,train
7wr8_A0-B0,train
7wro_H0-L0,train
7ws0_E0-D0,train
7ws0_G0-F0,train
7ws0_I0-H0,train
7ws1_E0-D0,train
7ws1_I0-H0,train
7ws1_G0-F0,train
